HOG	OG	Gene Tree Parent Clade	Mycoplasma_agalactiae_5632_FP671138	Mycoplasma_genitalium_uid97_L43967	Mycoplasma_hyopneumoniae_AE017243
N1.HOG0000010	OG0000016	n0	gi|290752900|emb|CBH40875.1|, gi|290752901|emb|CBH40876.1|, gi|290752903|emb|CBH40878.1|		
N1.HOG0000011	OG0000017	n0	gi|290752285|emb|CBH40256.1|, gi|290752509|emb|CBH40481.1|, gi|290752517|emb|CBH40489.1|, gi|290752870|emb|CBH40845.1|, gi|290752871|emb|CBH40846.1|		
N1.HOG0000012	OG0000018	n2	gi|290752307|emb|CBH40278.1|	gi|3844657|gb|AAC71272.1|	
N1.HOG0000013	OG0000018	n3	gi|290752458|emb|CBH40430.1|	gi|3844902|gb|AAC71547.1|	
N1.HOG0000014	OG0000019	n0	gi|290752561|emb|CBH40533.1|, gi|290752563|emb|CBH40535.1|, gi|290752739|emb|CBH40714.1|, gi|290752917|emb|CBH40892.1|, gi|290752919|emb|CBH40894.1|		
N1.HOG0000015	OG0000020	n0	gi|290752785|emb|CBH40760.1|	gi|3844781|gb|AAC71404.1|, gi|3844856|gb|AAC71481.1|	
N1.HOG0000016	OG0000021	n0	gi|290753066|emb|CBH41042.1|	gi|3844628|gb|AAC71235.1|, gi|3844797|gb|AAC71418.1|, gi|84626152|gb|AAC71218.2|	
N1.HOG0000017	OG0000025	n1	gi|290752893|emb|CBH40868.1|	gi|1045684|gb|AAC71231.1|	
N1.HOG0000018	OG0000025	n2	gi|290752894|emb|CBH40869.1|	gi|1045683|gb|AAC71230.1|	
N1.HOG0000019	OG0000026	n0	gi|290752801|emb|CBH40776.1|	gi|3844776|gb|AAC71399.1|, gi|3844882|gb|AAC71525.1|	
N1.HOG0000020	OG0000027	n0	gi|290752540|emb|CBH40512.1|, gi|290752567|emb|CBH40539.1|		
N1.HOG0000021	OG0000028	n0	gi|290752793|emb|CBH40768.1|, gi|290753013|emb|CBH40989.1|	gi|3844716|gb|AAC71343.1|	
N1.HOG0000022	OG0000029	n0	gi|290752964|emb|CBH40939.1|	gi|3844859|gb|AAC71485.1|, gi|3844861|gb|AAC71487.1|	
N1.HOG0000023	OG0000030	n0	gi|290752267|emb|CBH40238.1|, gi|290752987|emb|CBH40963.1|	gi|3845066|gb|AAC72490.1|	
N1.HOG0000024	OG0000031	n0	gi|290752403|emb|CBH40374.1|, gi|290752774|emb|CBH40749.1|	gi|3844878|gb|AAC71521.1|	
N1.HOG0000025	OG0000032	n0	gi|290752471|emb|CBH40443.1|	gi|3844701|gb|AAC71330.1|	
N1.HOG0000026	OG0000033	n0	gi|290752482|emb|CBH40454.1|, gi|290752494|emb|CBH40466.1|, gi|290752976|emb|CBH40952.1|		
N1.HOG0000027	OG0000034	n0	gi|290752530|emb|CBH40502.1|, gi|290752689|emb|CBH40663.1|, gi|290752694|emb|CBH40668.1|		
N1.HOG0000028	OG0000035	n0	gi|290752545|emb|CBH40517.1|, gi|290752647|emb|CBH40620.1|, gi|290752725|emb|CBH40699.1|, gi|290752934|emb|CBH40909.1|		
N1.HOG0000029	OG0000036	n0	gi|290752548|emb|CBH40520.1|, gi|290752644|emb|CBH40617.1|, gi|290752728|emb|CBH40702.1|, gi|290752931|emb|CBH40906.1|		
N1.HOG0000030	OG0000037	n0	gi|290752552|emb|CBH40524.1|, gi|290752553|emb|CBH40525.1|, gi|290752732|emb|CBH40706.1|, gi|290752927|emb|CBH40902.1|		
N1.HOG0000031	OG0000038	n0	gi|290752555|emb|CBH40527.1|, gi|290752733|emb|CBH40708.1|, gi|290752925|emb|CBH40900.1|		
N1.HOG0000032	OG0000039	n0	gi|290752556|emb|CBH40528.1|, gi|290752734|emb|CBH40709.1|, gi|290752924|emb|CBH40899.1|		
N1.HOG0000033	OG0000040	n0	gi|290752557|emb|CBH40529.1|, gi|290752735|emb|CBH40710.1|, gi|290752923|emb|CBH40898.1|, gi|290752968|emb|CBH40943.1|		
N1.HOG0000034	OG0000041	n0	gi|290752594|emb|CBH40566.1|	gi|3845001|gb|AAC71636.1|, gi|3845041|gb|AAC72468.1|	
N1.HOG0000035	OG0000042	n0	gi|290752681|emb|CBH40654.1|, gi|290752794|emb|CBH40769.1|	gi|84626160|gb|AAC71265.2|	
N1.HOG0000036	OG0000043	n0	gi|290752744|emb|CBH40719.1|, gi|290752745|emb|CBH40720.1|, gi|290752746|emb|CBH40721.1|		
N1.HOG0000037	OG0000044	n0	gi|290752800|emb|CBH40775.1|	gi|3844777|gb|AAC71400.1|, gi|3844881|gb|AAC71524.1|	
N1.HOG0000038	OG0000045	n0	gi|290752961|emb|CBH40936.1|		
N1.HOG0000039	OG0000046	n0	gi|290753082|emb|CBH41058.1|	gi|3844662|gb|AAC71282.1|, gi|3845063|gb|AAC72488.1|	
N1.HOG0000040	OG0000056	-		gi|1045743|gb|AAC71286.1|, gi|1045742|gb|AAC71285.1|, gi|3844986|gb|AAC71623.1|	
N1.HOG0000041	OG0000081	-	gi|290752284|emb|CBH40255.1|, gi|290752283|emb|CBH40254.1|	gi|3844864|gb|AAC71490.1|	
N1.HOG0000042	OG0000119	-	gi|290752376|emb|CBH40347.1|	gi|3845025|gb|AAC72453.1|, gi|3845036|gb|AAC72463.1|	
N1.HOG0000043	OG0000134	-	gi|290752429|emb|CBH40400.1|, gi|290752423|emb|CBH40394.1|, gi|290752430|emb|CBH40401.1|		
N1.HOG0000044	OG0000148	-	gi|290752475|emb|CBH40447.1|, gi|290752472|emb|CBH40444.1|, gi|290753086|emb|CBH41062.1|		
N1.HOG0000045	OG0000173	-	gi|290752541|emb|CBH40513.1|, gi|290752721|emb|CBH40695.1|, gi|290752938|emb|CBH40913.1|		
N1.HOG0000046	OG0000174	-	gi|290752542|emb|CBH40514.1|, gi|290752937|emb|CBH40912.1|, gi|290752722|emb|CBH40696.1|		
N1.HOG0000047	OG0000175	-	gi|290752723|emb|CBH40697.1|, gi|290752936|emb|CBH40911.1|, gi|290752543|emb|CBH40515.1|		
N1.HOG0000048	OG0000176	-	gi|290752935|emb|CBH40910.1|, gi|290752724|emb|CBH40698.1|, gi|290752544|emb|CBH40516.1|		
N1.HOG0000049	OG0000177	-	gi|290752933|emb|CBH40908.1|, gi|290752546|emb|CBH40518.1|, gi|290752726|emb|CBH40700.1|		
N1.HOG0000050	OG0000178	-	gi|290752727|emb|CBH40701.1|, gi|290752932|emb|CBH40907.1|, gi|290752547|emb|CBH40519.1|		
N1.HOG0000051	OG0000179	-	gi|290752729|emb|CBH40703.1|, gi|290752930|emb|CBH40905.1|, gi|290752549|emb|CBH40521.1|		
N1.HOG0000052	OG0000180	-	gi|290752550|emb|CBH40522.1|, gi|290752929|emb|CBH40904.1|, gi|290752730|emb|CBH40704.1|		
N1.HOG0000053	OG0000181	-	gi|290752928|emb|CBH40903.1|, gi|290752551|emb|CBH40523.1|, gi|290752731|emb|CBH40705.1|		
N1.HOG0000054	OG0000182	-	gi|290752922|emb|CBH40897.1|, gi|290752558|emb|CBH40530.1|, gi|290752736|emb|CBH40711.1|		
N1.HOG0000055	OG0000183	-	gi|290752738|emb|CBH40713.1|, gi|290752920|emb|CBH40895.1|, gi|290752560|emb|CBH40532.1|		
N1.HOG0000056	OG0000184	-	gi|290752740|emb|CBH40715.1|, gi|290752562|emb|CBH40534.1|, gi|290752918|emb|CBH40893.1|		
N1.HOG0000057	OG0000196	-	gi|290752610|emb|CBH40582.1|, gi|290752612|emb|CBH40584.1|, gi|290752641|emb|CBH40614.1|		
N1.HOG0000058	OG0000197	-	gi|290752896|emb|CBH40871.1|, gi|290752616|emb|CBH40588.1|, gi|290752940|emb|CBH40915.1|		
N1.HOG0000059	OG0000222	-	gi|290752971|emb|CBH40946.1|, gi|290752965|emb|CBH40940.1|, gi|290752685|emb|CBH40658.1|		
N1.HOG0000060	OG0000289	-	gi|290752865|emb|CBH40840.1|, gi|290752862|emb|CBH40837.1|, gi|290752859|emb|CBH40834.1|		
N1.HOG0000061	OG0000339	-		gi|84626129|gb|AAC71531.2|, gi|84626137|gb|AAC71563.2|, gi|3844886|gb|AAC71529.1|	
N1.HOG0000062	OG0000360	-	gi|290752664|emb|CBH40637.1|, gi|290752279|emb|CBH40250.1|		
N1.HOG0000063	OG0000361	-	gi|290752295|emb|CBH40266.1|, gi|290752386|emb|CBH40357.1|		
N1.HOG0000064	OG0000371	-	gi|290752336|emb|CBH40307.1|	gi|3844629|gb|AAC71236.1|	
N1.HOG0000065	OG0000372	-	gi|290752338|emb|CBH40309.1|	gi|3844919|gb|AAC71562.1|	
N1.HOG0000066	OG0000375	-	gi|290752713|emb|CBH40687.1|, gi|290752349|emb|CBH40320.1|		
N1.HOG0000067	OG0000377	-	gi|290752356|emb|CBH40327.1|	gi|3844672|gb|AAC71303.1|	
N1.HOG0000068	OG0000381	-	gi|290752397|emb|CBH40368.1|	gi|3844960|gb|AAC71599.1|	
N1.HOG0000069	OG0000382	-	gi|290752402|emb|CBH40373.1|	gi|84626149|gb|AAC71229.2|	
N1.HOG0000070	OG0000383	-	gi|290752428|emb|CBH40399.1|, gi|290753050|emb|CBH41026.1|		
N1.HOG0000071	OG0000384	-	gi|290752892|emb|CBH40867.1|, gi|290752431|emb|CBH40402.1|		
N1.HOG0000072	OG0000386	-	gi|290752435|emb|CBH40406.1|	gi|3845040|gb|AAC72467.1|	
N1.HOG0000073	OG0000388	-	gi|290752438|emb|CBH40409.1|	gi|84626150|gb|AAC71324.2|	
N1.HOG0000074	OG0000391	-	gi|290752448|emb|CBH40420.1|, gi|290752447|emb|CBH40418.1|		
N1.HOG0000075	OG0000395	-	gi|290752468|emb|CBH40440.1|	gi|3844697|gb|AAC71326.1|	
N1.HOG0000076	OG0000396	-	gi|290752469|emb|CBH40441.1|	gi|84626164|gb|AAC71327.2|	
N1.HOG0000077	OG0000406	-	gi|290752524|emb|CBH40496.1|, gi|290752590|emb|CBH40562.1|		
N1.HOG0000078	OG0000409	-	gi|290752554|emb|CBH40526.1|, gi|290752926|emb|CBH40901.1|		
N1.HOG0000079	OG0000415	-	gi|290752577|emb|CBH40549.1|, gi|290752676|emb|CBH40649.1|		
N1.HOG0000080	OG0000416	-	gi|290752578|emb|CBH40550.1|	gi|3844906|gb|AAC71550.1|	
N1.HOG0000081	OG0000422	-	gi|290752648|emb|CBH40621.1|	gi|1045938|gb|AAC71467.1|	
N1.HOG0000082	OG0000430	-	gi|290752700|emb|CBH40674.1|	gi|3844955|gb|AAC71595.1|	
N1.HOG0000083	OG0000431	-	gi|290752701|emb|CBH40675.1|	gi|3844956|gb|AAC71596.1|	
N1.HOG0000084	OG0000434	-	gi|290752718|emb|CBH40692.1|	gi|3845047|gb|AAC72473.1|	
N1.HOG0000085	OG0000436	-	gi|290752747|emb|CBH40722.1|	gi|1045726|gb|AAC71269.1|	
N1.HOG0000086	OG0000440	-	gi|290753047|emb|CBH41023.1|, gi|290752819|emb|CBH40794.1|		
N1.HOG0000087	OG0000442	-	gi|290752860|emb|CBH40835.1|, gi|290752866|emb|CBH40841.1|		
N1.HOG0000088	OG0000443	-	gi|290752868|emb|CBH40843.1|, gi|290752867|emb|CBH40842.1|		
N1.HOG0000089	OG0000444	-	gi|290752869|emb|CBH40844.1|	gi|1045936|gb|AAC71465.1|	
N1.HOG0000090	OG0000450	-	gi|290752952|emb|CBH40927.1|	gi|3844952|gb|AAC71592.1|	
N1.HOG0000091	OG0000471	-	gi|290753060|emb|CBH41036.1|	gi|3844819|gb|AAC71438.1|	
N1.HOG0000092	OG0000472	-		gi|1045734|gb|AAC71277.1|, gi|3844635|gb|AAC71241.1|	
N1.HOG0000093	OG0000473	-		gi|1045703|gb|AAC71248.1|, gi|3844684|gb|AAC71314.1|	
N1.HOG0000094	OG0000479	-		gi|84626135|gb|AAC71350.2|, gi|3845046|gb|AAC72472.1|	
N1.HOG0000095	OG0000482	-		gi|3844788|gb|AAC71410.1|, gi|84626170|gb|AAC71411.2|	
N1.HOG0000096	OG0000487	-		gi|3844846|gb|AAC71463.1|, gi|3844845|gb|AAC71462.1|	
N1.HOG0000097	OG0000489	-		gi|3844887|gb|AAC71530.1|, gi|3845018|gb|AAC72446.1|	
N1.HOG0000098	OG0000490	-		gi|3844975|gb|AAC71613.1|, gi|1046012|gb|AAC71534.1|	
N1.HOG0000099	OG0000492	-		gi|3845006|gb|AAC71641.1|, gi|84626165|gb|ABC59634.1|	
N1.HOG0000100	OG0000493	-		gi|3845032|gb|AAC72459.1|, gi|3845033|gb|AAC72460.1|	
