Orthogroup	Mycoplasma_agalactiae_5632_FP671138	Mycoplasma_genitalium_uid97_L43967	Mycoplasma_hyopneumoniae_AE017243
OG0000571	gi|290752528|emb|CBH40500.1|		
OG0000572	gi|290752791|emb|CBH40766.1|		
OG0000573	gi|290753038|emb|CBH41014.1|		
OG0000574		gi|3844908|gb|AAC71552.1|	
OG0000575	gi|290752776|emb|CBH40751.1|		
OG0000576	gi|290753011|emb|CBH40987.1|		
OG0000577	gi|290752348|emb|CBH40319.1|		
OG0000578	gi|290752995|emb|CBH40971.1|		
OG0000579	gi|290752398|emb|CBH40369.1|		
OG0000580	gi|290752588|emb|CBH40560.1|		
OG0000581		gi|3844826|gb|AAC71444.1|	
OG0000582	gi|290752625|emb|CBH40598.1|		
OG0000583		gi|3844623|gb|AAC71227.1|	
OG0000584		gi|3844725|gb|AAC71352.1|	
OG0000585			gi|144227520|gb|AAZ44312.2|
OG0000586	gi|290752765|emb|CBH40740.1|		
OG0000587			gi|144227590|gb|AAZ44432.2|
OG0000588		gi|3844980|gb|AAC71617.1|	
OG0000589		gi|3845012|gb|AAC71646.1|	
OG0000590	gi|290752915|emb|CBH40890.1|		
OG0000591		gi|3844885|gb|AAC71528.1|	
OG0000592	gi|290752873|emb|CBH40848.1|		
OG0000593			gi|144227439|gb|AAZ44134.2|
OG0000594			gi|71851762|gb|AAZ44370.1|
OG0000595	gi|290753015|emb|CBH40991.1|		
OG0000596			gi|144227633|gb|ABO93479.1|
OG0000597	gi|290752633|emb|CBH40606.1|		
OG0000598	gi|290752666|emb|CBH40639.1|		
OG0000599			gi|144227563|gb|AAZ44390.2|
OG0000600	gi|290752424|emb|CBH40395.1|		
OG0000601	gi|290752377|emb|CBH40348.1|		
OG0000602		gi|3844951|gb|AAC71591.1|	
OG0000603			gi|71852141|gb|AAZ44749.1|
OG0000604	gi|290752449|emb|CBH40421.1|		
OG0000605	gi|290752457|emb|CBH40429.1|		
OG0000606			gi|144227584|gb|AAZ44426.2|
OG0000607	gi|290752575|emb|CBH40547.1|		
OG0000608	gi|290753004|emb|CBH40980.1|		
OG0000609	gi|290753024|emb|CBH41000.1|		
OG0000610	gi|290752380|emb|CBH40351.1|		
OG0000611		gi|3844890|gb|AAC71535.1|	
OG0000612			gi|144227662|gb|AAZ44577.2|
OG0000613			gi|144227606|gb|ABO93477.1|
OG0000614		gi|3844778|gb|AAC71401.1|	
OG0000615			gi|71852145|gb|AAZ44753.1|
OG0000616			gi|144227453|gb|AAZ44169.2|
OG0000617		gi|3844631|gb|AAC71238.1|	
OG0000618		gi|3844622|gb|AAC71226.1|	
OG0000619		gi|1045731|gb|AAC71274.1|	
OG0000620		gi|3844984|gb|AAC71621.1|	
OG0000621		gi|84626126|gb|AAC71234.2|	
OG0000622	gi|290752884|emb|CBH40859.1|		
OG0000623	gi|290752478|emb|CBH40450.1|		
OG0000624		gi|3844805|gb|AAC71425.1|	
OG0000625	gi|290752761|emb|CBH40736.1|		
OG0000626			gi|71851757|gb|AAZ44365.1|
OG0000627			gi|144227689|gb|AAZ44632.2|
OG0000628	gi|290752941|emb|CBH40916.1|		
OG0000629	gi|290752507|emb|CBH40479.1|		
OG0000630	gi|290752592|emb|CBH40564.1|		
OG0000631	gi|290752781|emb|CBH40756.1|		
OG0000632		gi|3844817|gb|AAC71436.1|	
OG0000633	gi|290752460|emb|CBH40432.1|		
OG0000634	gi|290752864|emb|CBH40839.1|		
OG0000635			gi|144227703|gb|AAZ44657.2|
OG0000636	gi|290752686|emb|CBH40659.1|		
OG0000637			gi|71851771|gb|AAZ44379.1|
OG0000638	gi|290752754|emb|CBH40729.1|		
OG0000639	gi|290752775|emb|CBH40750.1|		
OG0000640			gi|71851828|gb|AAZ44436.1|
OG0000641			gi|144227557|gb|AAZ44380.2|
OG0000642			gi|71851881|gb|AAZ44489.1|
OG0000643		gi|84626168|gb|AAC71365.2|	
OG0000644		gi|84626131|gb|AAC71620.2|	
OG0000645			gi|71852102|gb|AAZ44710.1|
OG0000646	gi|290752914|emb|CBH40889.1|		
OG0000647		gi|3844831|gb|AAC71449.1|	
OG0000648			gi|71851773|gb|AAZ44381.1|
OG0000649			gi|71851554|gb|AAZ44162.1|
OG0000650		gi|3844911|gb|AAC71555.1|	
OG0000651	gi|290752614|emb|CBH40586.1|		
OG0000652		gi|3845048|gb|AAC72474.1|	
OG0000653	gi|290752790|emb|CBH40765.1|		
OG0000654			gi|71852034|gb|AAZ44642.1|
OG0000655			gi|144227695|gb|AAZ44645.2|
OG0000656		gi|3844682|gb|AAC71313.1|	
OG0000657	gi|290752595|emb|CBH40567.1|		
OG0000658	gi|290753080|emb|CBH41056.1|		
OG0000659	gi|290752474|emb|CBH40446.1|		
OG0000660	gi|290752439|emb|CBH40410.1|		
OG0000661	gi|290752881|emb|CBH40856.1|		
OG0000662			gi|144227559|gb|AAZ44383.2|
OG0000663			gi|144227670|gb|AAZ44601.2|
OG0000664		gi|3844933|gb|AAC71575.1|	
OG0000665		gi|3844926|gb|AAC71568.1|	
OG0000666		gi|1045977|gb|AAC71503.1|	
OG0000667		gi|3845004|gb|AAC71639.1|	
OG0000668		gi|3844863|gb|AAC71489.1|	
OG0000669		gi|84626127|gb|AAC72470.2|	
OG0000670		gi|1045974|gb|AAC71501.1|	
OG0000671		gi|3844875|gb|AAC71517.1|	
OG0000672	gi|290752425|emb|CBH40396.1|		
OG0000673	gi|290752297|emb|CBH40268.1|		
OG0000674		gi|1045963|gb|AAC71491.1|	
OG0000675	gi|290752651|emb|CBH40624.1|		
OG0000676	gi|290752436|emb|CBH40407.1|		
OG0000677		gi|3844895|gb|AAC71540.1|	
OG0000678		gi|3844666|gb|AAC71294.1|	
OG0000679	gi|290752623|emb|CBH40596.1|		
OG0000680		gi|3845034|gb|AAC72461.1|	
OG0000681		gi|3844995|gb|AAC71631.1|	
OG0000682	gi|290752784|emb|CBH40759.1|		
OG0000683	gi|290752624|emb|CBH40597.1|		
OG0000684			gi|144227701|gb|AAZ44654.2|
OG0000685		gi|1046021|gb|AAC71542.1|	
OG0000686		gi|3844931|gb|AAC71573.1|	
OG0000687		gi|3845020|gb|AAC72448.1|	
OG0000688			gi|144227635|gb|AAZ44530.2|
OG0000689	gi|290752353|emb|CBH40324.1|		
OG0000690			gi|144227607|gb|ABO93478.1|
OG0000691			gi|144227608|gb|AAZ44476.2|
OG0000692	gi|290752466|emb|CBH40438.1|		
OG0000693			gi|71851723|gb|AAZ44331.1|
OG0000694			gi|144227626|gb|AAZ44518.2|
OG0000695			gi|144227699|gb|AAZ44652.2|
OG0000696		gi|84626162|gb|AAC71217.2|	
OG0000697			gi|71851587|gb|AAZ44195.1|
OG0000698	gi|290752615|emb|CBH40587.1|		
OG0000699			gi|144227427|gb|AAZ44116.2|
OG0000700			gi|71852004|gb|AAZ44612.1|
OG0000701	gi|290752991|emb|CBH40967.1|		
OG0000702	gi|290753070|emb|CBH41046.1|		
OG0000703			gi|144227424|gb|AAZ44110.2|
OG0000704		gi|84626140|gb|ABC59633.1|	
OG0000705	gi|290752669|emb|CBH40642.1|		
OG0000706	gi|290752779|emb|CBH40754.1|		
OG0000707	gi|290752362|emb|CBH40333.1|		
OG0000708			gi|144227470|gb|ABO93472.1|
OG0000709	gi|290752861|emb|CBH40836.1|		
OG0000710	gi|290752389|emb|CBH40360.1|		
OG0000711	gi|290752315|emb|CBH40286.1|		
OG0000712			gi|144227435|gb|AAZ44128.2|
OG0000713	gi|290752654|emb|CBH40627.1|		
OG0000714		gi|3844707|gb|AAC71335.1|	
OG0000715		gi|3844665|gb|AAC71293.1|	
OG0000716	gi|290752331|emb|CBH40302.1|		
OG0000717		gi|1045951|gb|AAC71479.1|	
OG0000718			gi|144227567|gb|ABO93475.1|
OG0000719			gi|71851956|gb|AAZ44564.1|
OG0000720	gi|290752387|emb|CBH40358.1|		
OG0000721		gi|3844932|gb|AAC71574.1|	
OG0000722			gi|71851702|gb|AAZ44310.1|
OG0000723		gi|3845060|gb|AAC72485.1|	
OG0000724	gi|290752645|emb|CBH40618.1|		
OG0000725	gi|290752956|emb|CBH40931.1|		
OG0000726			gi|71851966|gb|AAZ44574.1|
OG0000727			gi|144227707|gb|AAZ44671.2|
OG0000728		gi|84626147|gb|AAC71280.2|	
OG0000729			gi|144227558|gb|AAZ44382.2|
OG0000730	gi|290752319|emb|CBH40290.1|		
OG0000731	gi|290752782|emb|CBH40757.1|		
OG0000732	gi|290752672|emb|CBH40645.1|		
OG0000733	gi|290752599|emb|CBH40571.1|		
OG0000734			gi|71851706|gb|AAZ44314.1|
OG0000735	gi|290752752|emb|CBH40727.1|		
OG0000736			gi|144227725|gb|AAZ44696.2|
OG0000737	gi|290752798|emb|CBH40773.1|		
OG0000738			gi|144227481|gb|AAZ44225.2|
OG0000739		gi|3845050|gb|AAC72476.1|	
OG0000740	gi|290752294|emb|CBH40265.1|		
OG0000741	gi|290752642|emb|CBH40615.1|		
OG0000742			gi|71852114|gb|AAZ44722.1|
OG0000743			gi|71852052|gb|AAZ44660.1|
OG0000744	gi|290752296|emb|CBH40267.1|		
OG0000745	gi|290752659|emb|CBH40632.1|		
OG0000746			gi|71851676|gb|AAZ44284.1|
OG0000747		gi|3844837|gb|AAC71454.1|	
OG0000748	gi|290752350|emb|CBH40321.1|		
OG0000749	gi|290752459|emb|CBH40431.1|		
OG0000750	gi|290753002|emb|CBH40978.1|		
OG0000751	gi|290753028|emb|CBH41004.1|		
OG0000752		gi|3844894|gb|AAC71539.1|	
OG0000753	gi|290752973|emb|CBH40949.1|		
OG0000754		gi|3844947|gb|AAC71587.1|	
OG0000755			gi|144227691|gb|AAZ44639.2|
OG0000756		gi|1045728|gb|AAC71271.1|	
OG0000757		gi|3844809|gb|AAC71429.1|	
OG0000758			gi|71851909|gb|AAZ44517.1|
OG0000759			gi|144227692|gb|AAZ44641.2|
OG0000760		gi|3844962|gb|AAC71601.1|	
OG0000761	gi|290752777|emb|CBH40752.1|		
OG0000762		gi|3844925|gb|AAC71567.1|	
OG0000763	gi|290752613|emb|CBH40585.1|		
OG0000764	gi|290752585|emb|CBH40557.1|		
OG0000765		gi|3844738|gb|AAC71363.1|	
OG0000766	gi|290752571|emb|CBH40543.1|		
OG0000767		gi|3844647|gb|AAC71253.1|	
OG0000768			gi|144227421|gb|AAZ44101.2|
OG0000769			gi|144227656|gb|AAZ44567.2|
OG0000770	gi|290752980|emb|CBH40956.1|		
OG0000771	gi|290752396|emb|CBH40367.1|		
OG0000772			gi|71851560|gb|AAZ44168.1|
OG0000773		gi|3844978|gb|AAC71616.1|	
OG0000774		gi|84626156|gb|AAC71480.2|	
OG0000775	gi|290752883|emb|CBH40858.1|		
OG0000776		gi|3844691|gb|AAC71321.1|	
OG0000777	gi|290752375|emb|CBH40346.1|		
OG0000778		gi|1045982|gb|AAC71508.1|	
OG0000779	gi|290752898|emb|CBH40873.1|		
OG0000780		gi|3844638|gb|AAC71244.1|	
OG0000781	gi|290752902|emb|CBH40877.1|		
OG0000782	gi|290752682|emb|CBH40655.1|		
OG0000783		gi|3844743|gb|AAC71367.1|	
OG0000784			gi|144227669|gb|AAZ44600.2|
OG0000785		gi|3844891|gb|AAC71536.1|	
OG0000786			gi|144227448|gb|AAZ44154.2|
OG0000787		gi|3844841|gb|AAC71458.1|	
OG0000788	gi|290752276|emb|CBH40247.1|		
OG0000789	gi|290752843|emb|CBH40818.1|		
OG0000790			gi|71851989|gb|AAZ44597.1|
OG0000791	gi|290752476|emb|CBH40448.1|		
OG0000792			gi|71851862|gb|AAZ44470.1|
OG0000793		gi|3844820|gb|AAC71439.1|	
OG0000794	gi|290752753|emb|CBH40728.1|		
OG0000795	gi|290752277|emb|CBH40248.1|		
OG0000796		gi|1045750|gb|AAC71292.1|	
OG0000797	gi|290753019|emb|CBH40995.1|		
OG0000798			gi|144227693|gb|AAZ44644.2|
OG0000799	gi|290752877|emb|CBH40852.1|		
OG0000800	gi|290752412|emb|CBH40383.1|		
OG0000801	gi|290752656|emb|CBH40629.1|		
OG0000802		gi|3844903|gb|AAC71548.1|	
OG0000803		gi|3844945|gb|AAC71586.1|	
OG0000804			gi|144227583|gb|ABO93476.1|
OG0000805			gi|144227698|gb|ABO93483.1|
OG0000806	gi|290752598|emb|CBH40570.1|		
OG0000807		gi|3844624|gb|AAC71228.1|	
OG0000808			gi|71851942|gb|AAZ44550.1|
OG0000809	gi|290752822|emb|CBH40797.1|		
OG0000810	gi|290752863|emb|CBH40838.1|		
OG0000811	gi|290752605|emb|CBH40577.1|		
OG0000812	gi|290752290|emb|CBH40261.1|		
OG0000813		gi|3844713|gb|AAC71341.1|	
OG0000814		gi|1045712|gb|AAC71256.1|	
OG0000815			gi|144227650|gb|AAZ44554.2|
OG0000816	gi|290752342|emb|CBH40313.1|		
OG0000817			gi|144227574|gb|AAZ44408.2|
OG0000818		gi|1045983|gb|AAC71509.1|	
OG0000819			gi|144227454|gb|AAZ44170.2|
OG0000820		gi|3844737|gb|AAC71362.1|	
OG0000821	gi|290752537|emb|CBH40509.1|		
OG0000822		gi|84626155|gb|AAC71441.2|	
OG0000823	gi|290753022|emb|CBH40998.1|		
OG0000824			gi|144227572|gb|AAZ44406.2|
OG0000825			gi|144227573|gb|AAZ44407.2|
OG0000826	gi|290752411|emb|CBH40382.1|		
OG0000827			gi|71851710|gb|AAZ44318.1|
OG0000828	gi|290752591|emb|CBH40563.1|		
OG0000829	gi|290753071|emb|CBH41047.1|		
OG0000830	gi|290752646|emb|CBH40619.1|		
OG0000831			gi|71851525|gb|AAZ44133.1|
OG0000832		gi|3844813|gb|AAC71432.1|	
OG0000833			gi|144227737|gb|ABO93485.1|
OG0000834			gi|71851592|gb|AAZ44200.1|
OG0000835			gi|144227542|gb|AAZ44353.2|
OG0000836	gi|290752310|emb|CBH40281.1|		
OG0000837			gi|144227464|gb|AAZ44184.2|
OG0000838			gi|144227484|gb|AAZ44229.2|
OG0000839			gi|71851899|gb|AAZ44507.1|
OG0000840	gi|290752875|emb|CBH40850.1|		
OG0000841		gi|3844811|gb|AAC71430.1|	
OG0000842	gi|290752400|emb|CBH40371.1|		
OG0000843			gi|71851608|gb|AAZ44216.1|
OG0000844		gi|3844678|gb|AAC71309.1|	
OG0000845		gi|3844840|gb|AAC71457.1|	
OG0000846	gi|290752706|emb|CBH40680.1|		
OG0000847		gi|3845003|gb|AAC71638.1|	
OG0000848	gi|290752329|emb|CBH40300.1|		
OG0000849		gi|3844637|gb|AAC71243.1|	
OG0000850	gi|290752506|emb|CBH40478.1|		
OG0000851	gi|290752292|emb|CBH40263.1|		
OG0000852			gi|144227576|gb|AAZ44412.2|
OG0000853			gi|144227647|gb|AAZ44549.2|
OG0000854		gi|1045973|gb|AAC71500.1|	
OG0000855			gi|144227704|gb|AAZ44658.2|
OG0000856			gi|144227589|gb|AAZ44431.2|
OG0000857		gi|3845021|gb|AAC72449.1|	
OG0000858	gi|290752947|emb|CBH40922.1|		
OG0000859			gi|144227456|gb|ABO93470.1|
OG0000860			gi|144227457|gb|ABO93471.1|
OG0000861	gi|290752687|emb|CBH40661.1|		
OG0000862		gi|3844780|gb|AAC71403.1|	
OG0000863		gi|3844898|gb|AAC71543.1|	
OG0000864		gi|3844708|gb|AAC71336.1|	
OG0000865		gi|84626132|gb|ABC59631.1|	
OG0000866			gi|71851805|gb|AAZ44413.1|
OG0000867		gi|3844830|gb|AAC71448.1|	
OG0000868			gi|144227565|gb|AAZ44400.2|
OG0000869		gi|3844915|gb|AAC71559.1|	
OG0000870	gi|290752374|emb|CBH40345.1|		
OG0000871	gi|290753014|emb|CBH40990.1|		
OG0000872			gi|144227683|gb|AAZ44623.2|
OG0000873		gi|3844853|gb|AAC71475.1|	
OG0000874	gi|290753074|emb|CBH41050.1|		
OG0000875		gi|3845067|gb|AAC72491.1|	
OG0000876	gi|290752444|emb|CBH40415.1|		
OG0000877			gi|144227489|gb|AAZ44237.2|
OG0000878	gi|290752677|emb|CBH40650.1|		
OG0000879		gi|3844938|gb|AAC71579.1|	
OG0000880	gi|290752975|emb|CBH40951.1|		
OG0000881	gi|290752367|emb|CBH40338.1|		
OG0000882			gi|144227661|gb|AAZ44576.2|
OG0000883		gi|3845005|gb|AAC71640.1|	
OG0000884	gi|290752634|emb|CBH40607.1|		
OG0000885			gi|144227534|gb|AAZ44338.2|
OG0000886	gi|290753078|emb|CBH41054.1|		
OG0000887			gi|144227491|gb|AAZ44246.2|
OG0000888		gi|3844721|gb|AAC71348.1|	
OG0000889			gi|144227694|gb|ABO93482.1|
OG0000890	gi|290752969|emb|CBH40944.1|		
OG0000891		gi|3844990|gb|AAC71626.1|	
OG0000892			gi|144227438|gb|AAZ44132.2|
OG0000893		gi|84626134|gb|AAC71392.2|	
OG0000894		gi|3844950|gb|AAC71590.1|	
OG0000895		gi|3844727|gb|AAC71354.1|	
OG0000896	gi|290752878|emb|CBH40853.1|		
OG0000897	gi|290753039|emb|CBH41015.1|		
OG0000898			gi|71851719|gb|AAZ44327.1|
OG0000899		gi|1045980|gb|AAC71506.1|	
OG0000900		gi|3844799|gb|AAC71420.1|	
OG0000901	gi|290752453|emb|CBH40425.1|		
OG0000902	gi|290752355|emb|CBH40326.1|		
OG0000903			gi|144227709|gb|ABO93484.1|
OG0000904	gi|290752322|emb|CBH40293.1|		
OG0000905		gi|3844654|gb|AAC71261.1|	
OG0000906			gi|144227455|gb|AAZ44175.2|
OG0000907			gi|144227616|gb|AAZ44498.2|
OG0000908	gi|290752407|emb|CBH40378.1|		
OG0000909			gi|144227688|gb|ABO93481.1|
OG0000910			gi|144227577|gb|AAZ44414.2|
OG0000911	gi|290752986|emb|CBH40962.1|		
OG0000912	gi|290752984|emb|CBH40960.1|		
OG0000913		gi|3844660|gb|AAC71281.1|	
OG0000914	gi|290753069|emb|CBH41045.1|		
OG0000915			gi|144227750|gb|AAZ44756.2|
OG0000916	gi|290752607|emb|CBH40579.1|		
OG0000917			gi|144227660|gb|AAZ44572.2|
OG0000918	gi|290752533|emb|CBH40505.1|		
OG0000919		gi|3844989|gb|AAC71625.1|	
OG0000920	gi|290752675|emb|CBH40648.1|		
OG0000921			gi|144227721|gb|AAZ44688.2|
OG0000922	gi|290752581|emb|CBH40553.1|		
OG0000923			gi|71851642|gb|AAZ44250.1|
OG0000924	gi|290752897|emb|CBH40872.1|		
OG0000925	gi|290752314|emb|CBH40285.1|		
OG0000926	gi|290752909|emb|CBH40884.1|		
OG0000927		gi|3844689|gb|AAC71319.1|	
OG0000928	gi|290752717|emb|CBH40691.1|		
OG0000929		gi|84626141|gb|AAC71634.2|	
OG0000930			gi|144227690|gb|AAZ44637.2|
OG0000931		gi|3844808|gb|AAC71428.1|	
OG0000932			gi|71851895|gb|AAZ44503.1|
OG0000933	gi|290752756|emb|CBH40731.1|		
OG0000934	gi|290752582|emb|CBH40554.1|		
OG0000935	gi|290753063|emb|CBH41039.1|		
OG0000936		gi|1045981|gb|AAC71507.1|	
OG0000937		gi|84626158|gb|AAC72481.2|	
OG0000938	gi|290752899|emb|CBH40874.1|		
OG0000939	gi|290752359|emb|CBH40330.1|		
OG0000940		gi|3844719|gb|AAC71346.1|	
OG0000941	gi|290752579|emb|CBH40551.1|		
OG0000942	gi|290752272|emb|CBH40243.1|		
OG0000943	gi|290752432|emb|CBH40403.1|		
OG0000944			gi|144227613|gb|AAZ44488.2|
OG0000945			gi|144227493|gb|ABO93473.1|
OG0000946			gi|144227642|gb|AAZ44540.2|
OG0000947	gi|290752882|emb|CBH40857.1|		
OG0000948			gi|144227555|gb|AAZ44374.2|
OG0000949			gi|71851703|gb|AAZ44311.1|
OG0000950		gi|3844706|gb|AAC71334.1|	
OG0000951		gi|3844896|gb|AAC71541.1|	
OG0000952	gi|290752771|emb|CBH40746.1|		
OG0000953			gi|71851528|gb|AAZ44136.1|
OG0000954			gi|144227472|gb|AAZ44207.2|
OG0000955			gi|71852139|gb|AAZ44747.1|
OG0000956		gi|3845029|gb|AAC72457.1|	
